short_name,id,conversation,flow_id,timestamp,content,answer_type,failed,author,embeddings
sales-demo,1,1,F111708852141205RHIA,2024-09-25T04:46:14.549000Z,What's on my calendar?,,False,USER,[]
sales-demo,2,1,F1117088521413VNNYWC,2024-09-25T04:46:14.550000Z,backend call: Calendar,OPEN_DOMAIN,False,CHATBOT,[]
sales-demo,3,1,F1117088521478CCIJGH,2024-09-25T04:46:41.593000Z,What are my balances?,,False,USER,[]
sales-demo,4,1,F1117088521479IL2DI0,2024-09-25T04:46:41.594000Z,backend call: Balance,OPEN_DOMAIN,False,CHATBOT,[]
sales-demo,7,1,F1117088522274T0GGGA,2024-09-25T04:47:05.318000Z,What are my upcoming assessments?,,False,USER,[]
sales-demo,8,1,F111708852227504MW4L,2024-09-25T04:47:05.319000Z,backend call: Upcoming Assessment,OPEN_DOMAIN,False,CHATBOT,[]
sales-demo,25,1,F1117088525159X5QU2S,2024-09-25T04:45:42.666000Z,What are my balances?,,False,USER,[]
sales-demo,26,1,F1117088525160FJF5D2,2024-09-25T04:45:42.667000Z,backend call: Balance,OPEN_DOMAIN,False,CHATBOT,[]
sales-demo,27,1,F11170885253895X45TO,2024-09-25T04:45:59.568000Z,What's on my schedule?,,False,USER,[]
sales-demo,28,1,F1117088525390ARGO10,2024-09-25T04:45:59.569000Z,backend call: Schedule,OPEN_DOMAIN,False,CHATBOT,[]
sales-demo,29,1,F11170885269293V4ABH,2024-09-25T04:46:14.549000Z,What's on my calendar?,,False,USER,[]
sales-demo,30,1,F1117088526930LVE2UH,2024-09-25T04:46:14.550000Z,backend call: Calendar,OPEN_DOMAIN,False,CHATBOT,[]
sales-demo,31,1,F1117088526995EI2VIK,2024-09-25T04:46:41.593000Z,What are my balances?,,False,USER,[]
sales-demo,32,1,F1117088526996ZI2ABZ,2024-09-25T04:46:41.594000Z,backend call: Balance,OPEN_DOMAIN,False,CHATBOT,[]
sales-demo,35,1,F1117088527292BCBF0Y,2024-09-25T04:47:05.318000Z,What are my upcoming assessments?,,False,USER,[]
sales-demo,36,1,F1117088527293GUCRHO,2024-09-25T04:47:05.319000Z,backend call: Upcoming Assessment,OPEN_DOMAIN,False,CHATBOT,[]
sales-demo,1281,1,F1521393634759ZJBHKV,2024-09-25T04:45:59.568000Z,What's on my schedule?,,False,USER,[]
sales-demo,1288,1,F1521393635034ZAQ2QB,2024-09-25T04:46:14.550000Z,backend call: Calendar,OPEN_DOMAIN,False,CHATBOT,[]
sales-demo,1291,1,F1521393635231ZGE4N2,2024-09-25T04:46:41.593000Z,What are my balances?,,False,USER,[]
sales-demo,1274,1,F1521393634410FNR105,2024-09-25T04:45:42.667000Z,backend call: Balance,OPEN_DOMAIN,False,CHATBOT,[]
sales-demo,1282,1,F1521393634760XVPKEP,2024-09-25T04:45:59.569000Z,backend call: Schedule,OPEN_DOMAIN,False,CHATBOT,[]
